nama_provinsi,kode_kabkota,nama_kabkota,tahun,angka_harapan_hidup,angka_melek_huruf,lama_sekolah,pengeluaran_perkapita,ipm
Prov. Jawa Timur,3524,Kab. Lamongan,2009,68.023044,86.973048,7.032575,627.27856,69.027381
Prov. Jawa Timur,3525,Kab. Gresik,2009,70.730976,94.361952,8.4873309,636.67809,73.975428
Prov. Jawa Timur,3526,Kab. Bangkalan,2009,63.162172,82.82,5.1333176,627.34165,64.001999
Prov. Jawa Timur,3527,Kab. Sampang,2009,62.340753,64.81162,3.9260711,627.67726,58.675389
Prov. Jawa Timur,3528,Kab. Pamekasan,2009,63.586686,80.205259,5.7335544,623.58309,63.811877
Prov. Jawa Timur,3529,Kab. Sumenep,2009,64.531635,78.627777,5.1990344,639.49,64.815699
Prov. Jawa Timur,3571,Kota Kediri,2009,70.180085,97.407062,9.9976544,639.50087,75.682272
Prov. Jawa Timur,3572,Kota Blitar,2009,71.946118,97.229161,9.71,646.93351,76.983342
Prov. Jawa Timur,3573,Kota Malang,2009,69.96339,97.194982,10.820633,646.85571,76.690929
Prov. Jawa Timur,3574,Kota Probolinggo,2009,69.82608,92.325632,8.3517,647.18134,73.728812
Prov. Jawa Timur,3575,Kota Pasuruan,2009,66.328261,96.135851,8.8111492,647.72865,73.014788
Prov. Jawa Timur,3576,Kota Mojokerto,2009,71.346986,97.111068,9.6658023,644.8592,76.431721
Prov. Jawa Timur,3577,Kota Madiun,2009,70.807836,97.75,10.380908,637.38995,76.228514
Prov. Jawa Timur,3578,Kota Surabaya,2009,70.708898,98,9.94005,649.24,76.815377
Prov. Jawa Timur,3579,Kota Batu,2009,69.155567,97.779454,8.3419,638.3892,73.88373
Prov. Jawa Timur,3501,Kab. Pacitan,2010,71.260817,91.582708,6.9003726,631.3975,72.069876
Prov. Jawa Timur,3502,Kab. Ponorogo,2010,69.929595,85.73,6.6843946,636.79663,70.285628
Prov. Jawa Timur,3503,Kab. Trenggalek,2010,71.617689,92.833825,7.242869,637.0964,73.238863
Prov. Jawa Timur,3504,Kab. Tulungagung,2010,71.47925,93.548501,7.8411993,631.54704,73.336498
Prov. Jawa Timur,3505,Kab. Blitar,2010,70.87558,92.004289,7.35,649.3814,73.667934
Prov. Jawa Timur,3506,Kab. Kediri,2010,69.66234,92.806188,7.5954859,628.58674,71.752097
Prov. Jawa Timur,3507,Kab. Malang,2010,68.963297,89.55,6.8037812,634.84857,70.536056
Prov. Jawa Timur,3508,Kab. Lumajang,2010,67.16631,86.320005,6.1049502,628.5989,67.820876
Prov. Jawa Timur,3509,Kab. Jember,2010,62.841809,83.481303,6.5261475,626.59965,64.945544
Prov. Jawa Timur,3510,Kab. Banyuwangi,2010,67.578733,86.65997,6.8522083,631.29535,68.886785
Prov. Jawa Timur,3511,Kab. Bondowoso,2010,63.229964,76.722239,5.5380403,626.7425,62.938244
Prov. Jawa Timur,3512,Kab. Situbondo,2010,63.191889,78.238365,6.1837542,633.57703,64.258793
Prov. Jawa Timur,3513,Kab. Probolinggo,2010,61.130583,78.910813,5.5686144,636,62.994043
Prov. Jawa Timur,3514,Kab. Pasuruan,2010,64.005189,89.992567,6.342897,635.83595,67.614564
Prov. Jawa Timur,3515,Kab. Sidoarjo,2010,70.553699,97.423352,9.8364809,646.96674,76.349179
Prov. Jawa Timur,3516,Kab. Mojokerto,2010,70.194344,94.110952,7.8080307,640.18758,73.38868
Prov. Jawa Timur,3517,Kab. Jombang,2010,70.085672,92.519845,7.7714071,636.98641,72.701006
Prov. Jawa Timur,3518,Kab. Nganjuk,2010,68.888528,90.477932,7.1921156,631.89713,70.761025
Prov. Jawa Timur,3519,Kab. Madiun,2010,68.897829,89.534749,7.3806952,625.20741,70.180961
Prov. Jawa Timur,3520,Kab. Magetan,2010,71.169431,90.544022,7.5716797,637.08924,72.723997
Prov. Jawa Timur,3521,Kab. Ngawi,2010,69.910301,85.139566,6.3610464,622.74628,68.821856
Prov. Jawa Timur,3522,Kab. Bojonegoro,2010,67.146001,84.782286,6.6637557,616.10722,66.919547
Prov. Jawa Timur,3523,Kab. Tuban,2010,67.783953,85.787066,6.4106654,629.12509,68.312569
Prov. Jawa Timur,3524,Kab. Lamongan,2010,68.198291,87.146349,7.1918484,631.84217,69.632776
Prov. Jawa Timur,3525,Kab. Gresik,2010,70.976327,94.469517,8.5313363,640.59295,74.469804
Prov. Jawa Timur,3526,Kab. Bangkalan,2010,63.316986,82.841518,5.164147,632.4082,64.505912
Prov. Jawa Timur,3527,Kab. Sampang,2010,63.001431,66.030781,3.9493933,632.46512,59.699452
Prov. Jawa Timur,3528,Kab. Pamekasan,2010,63.987241,80.844049,6.1080406,625.49,64.600652
Prov. Jawa Timur,3529,Kab. Sumenep,2010,64.709826,78.635554,5.6302124,644.18623,65.597574
Prov. Jawa Timur,3571,Kota Kediri,2010,70.408256,97.528632,10.202501,643.35079,76.284354
Prov. Jawa Timur,3572,Kota Blitar,2010,72.230388,97.236938,9.72,650.38266,77.416101
Prov. Jawa Timur,3573,Kota Malang,2010,70.321488,97.202759,10.830964,650.75352,77.19951
Prov. Jawa Timur,3574,Kota Probolinggo,2010,70.171496,92.491087,8.5175821,650.48208,74.334617
Prov. Jawa Timur,3575,Kota Pasuruan,2010,66.37107,96.409336,8.8484832,651.93357,73.450914
