nama_provinsi,kode_kabkota,nama_kabkota,tahun,indikator_ipm,satuan,nilai
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2005,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",586
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2005,"IPM","Tanpa Satuan",70.23
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2006,"Angka Harapan Hidup","Tahun",69.1
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2006,"Angka Melek Huruf","Persen",96.94
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2006,"Rata-rata Lama Sekolah","Tahun",9.3
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2006,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",589.12
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2006,"IPM","Tanpa Satuan",70.58
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2007,"Angka Harapan Hidup","Tahun",69.11
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2007,"Angka Melek Huruf","Persen",96.94
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2007,"Rata-rata Lama Sekolah","Tahun",9.3
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2007,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",593.99
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2007,"IPM","Tanpa Satuan",70.96
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2008,"Angka Harapan Hidup","Tahun",69.16
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2008,"Angka Melek Huruf","Persen",96.94
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2008,"Rata-rata Lama Sekolah","Tahun",9.3
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2008,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",594.03
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2008,"IPM","Tanpa Satuan",70.99
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2009,"Angka Harapan Hidup","Tahun",69.19
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2009,"Angka Melek Huruf","Persen",97.1
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2009,"Rata-rata Lama Sekolah","Tahun",9.34
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2009,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",596.01
